Name,Website,City,County,Fat Access Info,Status,New Status Field,,Notes
O2 Arena,https://www.theo2.co.uk/,London,London,,Acknowledged - Chased,In Progress,,"24/04/23 - call made to accessibility confirms they have the info, requested addition to website.  
02/08/23 - Confirmed they had contacted teams responsible for the website. "
West End Centre,https://www.westendcentre.co.uk/,Aldershot,Hampshire,https://www.westendcentre.co.uk/venue-info,Already Existed,Information Available,," Unreserved Seating events utilise individual chairs (seat width 455mm, no armrests) which can be freely arranged to provide as much legroom and space between seats as required.
 Reserved Seating for Theatre shows is raked with seats in fixed unmoveable arrangement (seat width 440mm, armrests cannot be removed).
 Our seats can accommodate up to 190kg."
Forest Arts,https://www.forest-arts.co.uk/,New Milton,Hampshire,https://www.forest-arts.co.uk/about-us/venue-info,Already Existed,Information Available,,Our seats are 40cm in width and height with variable leg room and no armrests.
Swindon Arts Centre,https://swindontheatres.co.uk/Online/swindon-arts-centre,Swindon,Wiltshire,https://swindontheatres.co.uk/ArticleMedia/Files/Wyvern/Arts%20Centre%20Seating%20info.pdf,Already Existed,Information Available,,https://swindontheatres.co.uk/ArticleMedia/Files/Wyvern/Arts%20Centre%20Seating%20info.pdf
Leeds Grand Theatre,https://leedsheritagetheatres.com/,Leeds,West Yorkshire,https://swindontheatres.co.uk/Online/swindonaccess,Already Existed,Information Available,,"All seats have arm-rests these can’t be removed except the Upper Balcony and Boxes:
Stalls: Seat pad width: 48cm / Leg room: 80cm.
 Dress Circle: Seat pad width: 44cm / Leg room: 63cm. 
 Upper Circle: Seat pad width: 42cm / Leg room: 68cm. 
 Balcony: Seat pad width: 43cm / Leg room: 71cm. 
 Upper Balcony: Seat pad width: 42cm / Leg room: 65cm. No arm rests 
 Boxes have free-standing chairs so may be more spacious"
Leeds City Varieties Music Hall,https://leedsheritagetheatres.com/,Leeds,West Yorkshire,https://leedsheritagetheatres.com/faq/,Already Existed,Information Available,,"Standard seats (including Stalls/Circle/Upper Circle/Side Circle) are:
 Width: 46cm between the arms
 Seat pad width: 43cm
 All seats have arm-rests these can’t be removed

 Side Stalls seats are:
 Width: 48cm between the arms
 Seat pad width: 46cm
 
 Boxes have free-standing chairs so may be more spacious"
Sherman Theatre,https://www.shermantheatre.co.uk/,Cardiff,South Glamorgan,https://www.shermantheatre.co.uk/wp-content/uploads/2022/11/Main-House-Seating-Info.pdf,Already Existed,Information Available,,https://www.shermantheatre.co.uk/wp-content/uploads/2022/11/Main-House-Seating-Info.pdf
Warwick Arts Centre,https://www.warwickartscentre.co.uk/,Warwick,Warwickshire,https://www.warwickartscentre.co.uk/accessible-building/,Already Existed,Information Available,,https://www.warwickartscentre.co.uk/accessible-building/
South Street Arts Centre,https://whatsonreading.com/venues/south-street/whats-on,Reading,Berkshire,https://whatsonreading.com/venues/south-street/access-information,Already Existed,Information Available,,"Seat Size South Street's raked seating has seats that are approximately 17 inches (43 cm) wide with armrests down, and approximately 20 inches (50cm) with the armrests up. 
 
Aisle seats will allow for a few extra inches space on the aisle side, but any patrons who need more space than this should contact the Box Office on boxoffice@reading.gov.uk, and we will work with you to find an accommodation."
The Y Theatre,https://www.ytheatre.co.uk/,Leicester,Leicestershire,https://www.ytheatre.co.uk/your-visit/accessibility/,Already Existed,Information Available,,https://www.ytheatre.co.uk/your-visit/accessibility/
